"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#ADPKD","284","0.4507","0.9296","39.0078","167.3765","0.0000","0.1484","40.5076","117.9653","0.0000","0.1932","2101.4375","3625.5708","0.0000","0.1250","2215.5114","16548.2338","0.0000","0.1439"
"unknown-#CRCSM","2388","0.4338","0.8660","20.7143","83.6552","0.0000","0.1245","25.5513","55.3589","0.0000","0.2045","25205.8948","394250.4654","0.0000","0.1303","5183.6277","54245.5139","0.0000","0.1248"
"#BodyDysmorphicDisorder","38","0.8158","0.5526","7.2581","17.7632","0.0000","0.1613","12.3810","20.4825","0.0000","0.0952","1467.3548","3288.5583","0.0000","0.1935","2198.8571","4198.5662","0.0000","0.1429"
"#BowelCancer","1240","0.4145","0.8871","9.4339","52.6985","0.0000","0.1089","15.6827","34.8185","0.0000","0.1664","3190.2179","10282.3238","0.0000","0.1070","4338.0845","44076.7028","0.0000","0.1073"
"#KidneyStones","492","0.6179","0.6463","17.5888","62.3733","0.0000","0.1283","43.2327","44.0524","0.0000","0.1792","13036.3914","117205.2500","0.0000","0.1513","10134.7673","108344.6419","0.0000","0.1415"
"#STD","2443","0.5448","0.6725","8.7761","44.2043","0.0000","0.0947","9.0779","18.5215","0.0000","0.1546","4219.7573","25327.6618","0.0000","0.1352","5665.7565","21882.3745","0.0000","0.1114"
"#Gestationaldiabetes","293","0.5324","0.7611","38.6667","152.5706","0.0000","0.1346","57.0717","124.0226","0.0000","0.1794","6776.4872","27265.7608","0.0000","0.1218","3890.3498","20452.8648","0.0000","0.1211"
"unknown-#BCD2020","19864","0.3621","0.8583","10.3038","69.0672","0.0000","0.1242","8.8755","41.5387","0.0000","0.1233","12838.2713","192738.4485","0.0000","0.1315","10900.7847","179977.1854","0.0000","0.1301"
"#KeratosisPilaris","17","0.8235","0.3529","20.9286","69.4334","0.0000","0.1429","2.5000","4.2151","-1.0000","-1.0000","767.1429","847.7553","0.0000","0.0714","919.1667","1130.0778","-1.0000","-1.0000"
"#LiFraumeni","39","0.4103","0.9744","8.3750","9.4366","0.0000","0.1250","10.5000","7.3365","0.0000","0.0789","4241.3125","6929.5121","0.0000","0.0625","3359.8421","8634.0045","0.0000","0.1579"
"#Bedwetting","157","0.4904","0.6879","10.4026","45.4276","0.0000","0.0909","8.2593","6.1959","0.0000","0.1111","886.1429","1208.1964","0.0000","0.0909","4504.7593","11898.8868","0.0000","0.1019"
"#Autoimmune","3234","0.5662","0.8033","17.8482","74.2946","0.0000","0.1409","31.1143","57.4240","0.0000","0.1390","3900.3725","20944.6123","0.0000","0.1223","3091.4334","17563.4859","0.0000","0.1197"
"#BladderCancer","4021","0.3733","0.9460","16.6309","71.6261","0.0000","0.1046","16.2624","31.9664","0.0000","0.1887","6836.9254","63374.6493","0.0000","0.1299","3511.8962","43494.3771","0.0000","0.1278"
"#Bipolar","9428","0.4455","0.7967","8.3319","32.2595","0.0000","0.1336","10.4151","23.5453","0.0000","0.1507","5073.5962","51250.1598","0.0000","0.1329","3663.9989","24327.7291","0.0000","0.1181"
"#Bursitis","41","0.8780","0.3171","9.5556","33.2509","0.0000","0.0278","24.6923","5.0637","0.0000","0.0000","805.2500","1280.4877","0.0000","0.1111","758.0769","1116.3662","0.0000","0.1538"
"#KidneyCancer","1286","0.3616","0.9510","17.9140","69.6556","0.0000","0.1398","19.8446","37.0701","0.0000","0.1774","6096.6839","36644.9395","0.0000","0.1226","4016.9583","26638.0908","0.0000","0.1030"
"#Hypoglycemia","461","0.5857","0.8612","21.1296","105.7597","0.0000","0.1222","32.7607","87.4993","0.0000","0.1234","3616.9593","10043.5353","0.0000","0.1148","2891.8615","8675.2961","0.0000","0.1083"
"#PulmonaryEmbolism","537","0.2756","0.9497","11.4324","24.5257","0.0000","0.1419","11.3451","13.7157","-1.0000","-1.0000","2677.1014","10790.7664","0.0000","0.1081","1124.5804","3435.0962","0.0000","0.1039"
"#Sciatica","716","0.6341","0.5391","11.0881","39.4069","0.0000","0.1410","15.8705","17.5262","0.0000","0.2021","8297.2379","113066.9544","0.0000","0.1233","3388.3109","27462.0831","0.0000","0.1062"
"#Synesthesia","314","0.6019","0.6306","4.4127","16.2736","0.0000","0.1905","6.3333","15.8335","0.0000","0.1111","3948.4021","15891.2262","0.0000","0.1270","4738.8737","17023.8975","0.0000","0.1162"
"#Sepsis","14316","0.2628","0.9462","7.7679","40.3943","0.0000","0.1465","8.2936","19.6298","-1.0000","-1.0000","8802.9083","190329.8762","0.0000","0.1201","3687.4402","101384.2993","0.0000","0.1270"
"#MdrTB","104","0.5000","0.9231","20.3846","42.6919","0.0000","0.0577","33.7813","32.8540","0.0000","0.1146","2859.0192","5837.9303","0.0000","0.0769","2222.2396","4633.3081","0.0000","0.0729"
"unknown-#MMSM","1169","0.4123","0.9102","26.7552","112.9270","0.0000","0.1100","29.0827","52.2892","0.0000","0.1513","8655.7988","92319.9272","0.0000","0.1162","4784.5414","63159.0677","0.0000","0.1372"
"#ClusterHeadaches","209","0.6651","0.7225","17.5108","72.1347","0.0000","0.0863","33.7285","69.4634","0.0000","0.1589","2314.4676","5554.3613","0.0000","0.1295","1762.4106","3943.4572","0.0000","0.1325"
"#Andropause","29","0.8621","0.4138","15.4000","22.6716","0.0000","0.0400","39.6667","31.5493","0.0000","0.0833","2298.6000","5392.7084","0.0000","0.0800","3913.9167","7520.2017","0.0000","0.1667"
"#Neuropathy","544","0.6746","0.7445","28.1907","121.4829","0.0000","0.1253","59.9457","115.2366","0.0000","0.1407","3659.2698","12496.4278","0.0000","0.1335","2866.8420","8335.9199","0.0000","0.1210"
"#devlangdis","682","0.3490","0.9560","5.3151","11.0986","0.0000","0.0966","16.8282","7.1761","0.0000","0.1457","1833.9538","4958.6298","0.0000","0.1303","1241.9080","3514.7563","0.0000","0.1074"
"#Paget","29","0.7241","0.5172","12.9048","44.1372","0.0000","0.0952","13.4667","4.2337","0.0000","0.0000","579.9524","961.5472","0.0000","0.0476","1551.8000","2329.1308","0.0000","0.1333"
"#Arthritis","5712","0.5706","0.7080","13.9604","56.0590","0.0000","0.1209","21.6189","42.1854","0.0000","0.1649","5963.2295","69574.5999","0.0000","0.1289","4760.3487","24938.0258","0.0000","0.1301"
"unknown-#CryoGroup","6","0.3333","0.6667","3.0000","2.8284","-1.0000","-1.0000","29.7500","0.0000","-1.0000","-1.0000","709.5000","679.5296","-1.0000","-1.0000","466.7500","462.7515","-1.0000","-1.0000"
"#EColi","2637","0.5468","0.6803","7.0472","24.6861","0.0000","0.1359","9.3673","16.2277","0.0000","0.1410","8488.5798","42582.6510","0.0000","0.1429","5331.4955","31693.2080","0.0000","0.1254"
"#thyca","34","0.7353","0.7353","21.4400","58.3353","0.0000","0.1600","7.4400","58.5764","0.0000","0.1600","2636.2800","4308.1609","0.0000","0.2000","1939.3200","4165.6874","0.0000","0.1200"
"#GaucherDisease","8","0.6250","0.8750","86.8000","114.7702","-1.0000","-1.0000","36.2857","103.1291","-1.0000","-1.0000","1698.0000","2454.7243","-1.0000","-1.0000","1337.7143","2092.7106","-1.0000","-1.0000"
"#Sarcopenia","331","0.4532","0.9245","22.7800","142.0777","0.0000","0.1200","24.0196","99.8549","0.0000","0.1307","1955.0933","4404.8431","0.0000","0.0933","1329.9673","3041.9370","0.0000","0.1046"
"#LiverDisease","567","0.4550","0.8519","21.3450","46.2881","0.0000","0.1202","29.3851","24.6211","0.0000","0.1594","4862.0775","33683.0870","0.0000","0.0930","3094.3106","24500.1427","0.0000","0.1180"
"#Cerebral","180","0.6333","0.6111","13.3860","54.3982","0.0000","0.1404","7.9727","52.3645","0.0000","0.1364","3742.8684","12198.0066","0.0000","0.1140","8806.7727","39631.1269","0.0000","0.1455"
"#SkinCancer","5144","0.4405","0.7988","9.7608","47.8951","0.0000","0.1293","11.8873","22.3149","0.0000","0.1560","9490.9426","90246.5560","0.0000","0.1350","4896.8372","54208.1349","0.0000","0.1353"
"#colic","208","0.6779","0.5385","22.8511","96.4112","0.0000","0.1631","29.6518","99.0726","0.0000","0.1786","5425.3901","33093.1663","0.0000","0.1135","8176.9018","39280.5418","0.0000","0.1250"
"#EpidermolysisBullosa","205","0.3171","0.9024","23.3385","74.8603","0.0000","0.1538","20.0324","38.8114","-1.0000","-1.0000","1753.8000","3139.3730","0.0000","0.1385","22940.6541","296586.5915","0.0000","0.1081"
"#Amyloidosis","205","0.4780","0.9024","15.6837","29.7954","0.0000","0.1531","11.5405","22.5927","0.0000","0.1514","21961.9490","193409.1623","0.0000","0.1531","13535.3514","141679.2707","0.0000","0.1297"
"#Lymphoedema","1033","0.4879","0.9051","18.6508","69.5420","0.0000","0.1230","32.5037","49.4636","0.0000","0.1636","4519.4008","17084.1560","0.0000","0.1290","2972.0898","12926.3117","0.0000","0.1219"
"#Dialysis","1789","0.4086","0.8116","9.7647","29.3947","0.0000","0.1272","13.7686","14.1670","0.0000","0.1315","6367.0793","65704.3516","0.0000","0.1327","5007.7899","50217.0415","0.0000","0.1350"
"#peripheralarterydisease","185","0.3568","0.9243","20.4697","35.7673","0.0000","0.0606","35.7251","22.4593","0.0000","0.1696","8279.3788","32219.6121","0.0000","0.0909","3344.9064","19726.5636","0.0000","0.1404"
"#HunterSyndrome","92","0.4348","0.8478","8.2500","19.7390","0.0000","0.1000","6.9487","14.7088","0.0000","0.1667","11496.6250","60079.9314","0.0000","0.1250","6046.9744","43113.3525","0.0000","0.1154"
"#Hives","158","0.7532","0.4177","26.8151","112.1409","0.0000","0.1092","75.0606","143.3093","0.0000","0.1818","1799.5966","6309.8441","0.0000","0.0756","5793.9394","12855.4498","0.0000","0.1667"
"#Viruszika","3321","0.4384","0.8639","13.1195","51.7896","0.0000","0.1223","14.3831","28.2985","0.0000","0.1997","10471.8654","58479.1857","0.0000","0.1429","4854.9822","35029.6559","0.0000","0.1297"
"#Rhinitis","124","0.5000","0.8145","17.7903","38.9624","0.0000","0.1129","38.5446","14.6256","0.0000","0.1683","1807.9032","4252.4042","0.0000","0.1129","3939.4554","24653.4953","0.0000","0.0990"
"#Eczema","3555","0.4295","0.7646","11.7583","40.9846","0.0000","0.1329","15.5375","27.5760","0.0000","0.1369","5456.8003","41145.2784","0.0000","0.1303","3885.5342","33518.5430","0.0000","0.1196"
"#NeuroendocrineCancer","221","0.3484","0.9638","34.2468","137.5922","0.0000","0.1299","46.4695","84.0247","0.0000","0.1690","26364.6623","218225.5010","0.0000","0.1039","10282.7277","131230.9492","0.0000","0.1221"
"#IBS","2412","0.5784","0.7504","12.5692","47.0111","0.0000","0.1269","26.2901","35.4030","0.0000","0.1564","3454.7376","15710.4655","0.0000","0.1176","3514.1547","17257.5733","0.0000","0.1238"
"#glaucoma","1321","0.4996","0.7260","17.4364","98.1798","0.0000","0.1439","24.4015","72.5238","0.0000","0.1554","7940.9909","64507.0428","0.0000","0.1348","5847.5996","47578.9715","0.0000","0.1335"
