"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"4.3539","0.9210","0.3539","0.3060","0.0000","1.7872","22.8914","0.0781"
"2.4035","2.3192","0.8685","0.7071","0.0000","1.4990","20.4399","0.0733"
"6.3233","0.6466","0.8438","0.5973","0.0000","5.6877","22.0411","0.2580"
"1.5804","0.0431","0.2078","0.0314","0.0000","2.2863","15.8667","0.1441"
"5.0869","0.5436","0.8378","0.5303","0.0039","3.2891","21.9886","0.1496"
"3.3277","1.6592","0.7481","0.7025","0.0023","1.1592","21.7237","0.0534"
"3.8464","1.4911","0.7981","0.5459","0.0086","1.8430","21.6251","0.0852"
"5.0019","1.3006","0.8033","0.6194","0.0278","2.2283","19.9440","0.1117"
"4.0842","1.7647","0.6805","0.5709","0.0017","3.7270","21.3959","0.1742"
"3.7770","1.6401","0.8302","0.6135","0.0160","2.0629","20.1747","0.1022"
"3.7427","1.6526","0.7694","0.5114","0.0011","1.2219","21.1828","0.0577"
"3.8608","1.6835","0.8987","0.3797","0.0000","7.7468","21.7595","0.3560"
"1.2245","1.0845","1.0029","0.0087","0.0000","1.5627","15.6822","0.0996"
"3.6472","1.3494","0.7820","0.6298","0.0008","2.7528","19.5861","0.1405"
"3.9607","1.6157","0.8777","0.3712","0.1135","4.4672","21.6943","0.2059"
"4.3895","1.1942","0.8322","0.6029","0.0026","2.4642","21.1668","0.1164"
"4.9566","2.7645","0.5949","0.7413","0.0000","2.9876","22.0372","0.1356"
"3.7027","5.3108","0.8176","0.4595","0.0000","3.5811","17.7568","0.2017"
"3.3021","1.7168","0.8554","0.5429","0.0115","1.4953","19.7842","0.0756"
"3.6216","0.7979","0.5785","0.6897","0.0000","3.7826","21.4626","0.1762"
"3.4520","1.1975","0.5382","0.5549","0.0000","1.9471","24.0501","0.0810"
"4.1518","1.3472","0.6148","0.5560","0.0000","4.8197","22.4364","0.2148"
"4.9186","1.6887","0.8044","0.6490","0.0000","2.9641","20.6987","0.1432"
"2.4621","1.4713","1.0869","0.4196","0.0074","2.9630","20.7911","0.1425"
"6.4950","0.9987","0.8377","0.6905","0.0000","3.9879","23.2633","0.1714"
