"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#porphyria","34","0.7941","0.6471","7.4074","13.2556","0.0000","0.1111","11.8182","14.5159","0.0000","0.0909","3488.5185","8528.9896","0.0000","0.2222","4081.3636","9364.5927","0.0000","0.2273"
"unknown-#CRCSM","2386","0.4334","0.8667","20.7524","83.7317","0.0000","0.1248","25.5513","55.3589","0.0000","0.2045","25149.9497","393320.0380","0.0000","0.1335","5149.0377","54139.7841","0.0000","0.1257"
"#BodyDysmorphicDisorder","38","0.8158","0.5526","7.2581","17.7632","0.0000","0.1613","12.3810","20.4825","0.0000","0.0952","1457.6129","3268.7875","0.0000","0.1935","2180.6667","4171.8205","0.0000","0.1429"
"#BowelCancer","1240","0.4145","0.8871","9.4339","52.6985","0.0000","0.1089","15.6827","34.8185","0.0000","0.1664","3171.7140","10285.5403","0.0000","0.1089","4314.9427","43967.1004","0.0000","0.1091"
"#KidneyStones","492","0.6179","0.6463","17.5888","62.3733","0.0000","0.1283","43.2327","44.0524","0.0000","0.1792","13012.6776","117105.6614","0.0000","0.1513","10109.2862","108234.7995","0.0000","0.1415"
"#Gestationaldiabetes","293","0.5324","0.7611","38.6667","152.5706","0.0000","0.1346","57.0717","124.0226","0.0000","0.1794","6716.6090","27032.3036","0.0000","0.1218","3852.9910","20271.2938","0.0000","0.1211"
"unknown-#BCD2020","19864","0.3621","0.8583","10.3038","69.0672","0.0000","0.1242","8.8755","41.5387","0.0000","0.1233","12779.0239","191767.8407","0.0000","0.1317","10841.8726","178853.4913","0.0000","0.1300"
"#KeratosisPilaris","17","0.8235","0.3529","20.9286","69.4334","0.0000","0.1429","2.5000","4.2151","-1.0000","-1.0000","769.6429","857.9605","0.0000","0.0714","1953.5000","2333.5375","-1.0000","-1.0000"
"#BladderCancer","4021","0.3733","0.9460","16.6309","71.6261","0.0000","0.1046","16.2624","31.9664","0.0000","0.1887","6789.1113","63327.7521","0.0000","0.1319","3488.1525","43455.4638","0.0000","0.1280"
"#Bipolar","9427","0.4454","0.7968","8.3334","32.2632","0.0000","0.1336","10.4151","23.5453","0.0000","0.1507","5039.3951","50963.1156","0.0000","0.1319","3605.9625","23887.1869","0.0000","0.1192"
"#Hypoglycemia","461","0.5857","0.8612","21.1296","105.7597","0.0000","0.1222","32.7607","87.4993","0.0000","0.1234","3580.9963","9964.3270","0.0000","0.1148","2858.5894","8607.6314","0.0000","0.1083"
"#PulmonaryEmbolism","537","0.2756","0.9497","11.4324","24.5257","0.0000","0.1419","11.3451","13.7157","-1.0000","-1.0000","2620.6757","10593.9519","0.0000","0.1081","1097.8157","3386.3883","0.0000","0.1039"
"#Synesthesia","314","0.6019","0.6306","4.4127","16.2736","0.0000","0.1905","6.3333","15.8335","0.0000","0.1111","3928.5397","15865.1869","0.0000","0.1270","4705.2727","17017.7635","0.0000","0.1212"
"#ClusterHeadaches","209","0.6651","0.7225","17.5108","72.1347","0.0000","0.0863","33.7285","69.4634","0.0000","0.1589","2293.7986","5559.5800","0.0000","0.1295","1736.2848","3935.1303","0.0000","0.1325"
"#Andropause","29","0.8621","0.4138","15.4000","22.6716","0.0000","0.0400","39.6667","31.5493","0.0000","0.0833","2285.4000","5380.9075","0.0000","0.0800","3892.8333","7505.7078","0.0000","0.1667"
"#Neuropathy","544","0.6746","0.7445","28.1907","121.4829","0.0000","0.1253","59.9457","115.2366","0.0000","0.1407","3652.7629","12476.9587","0.0000","0.1362","2832.6000","8313.3589","0.0000","0.1185"
"#Paget","29","0.7241","0.5172","12.9048","44.1372","0.0000","0.0952","13.4667","4.2337","0.0000","0.0000","572.2381","949.2208","0.0000","0.0952","1539.6667","2323.8970","0.0000","0.1333"
"#EColi","2637","0.5468","0.6803","7.0472","24.6861","0.0000","0.1359","9.3673","16.2277","0.0000","0.1410","8469.3287","42530.6116","0.0000","0.1436","5317.4454","31635.5228","0.0000","0.1271"
"#GaucherDisease","8","0.6250","0.8750","86.8000","114.7702","-1.0000","-1.0000","36.2857","103.1291","-1.0000","-1.0000","1685.2000","2436.6434","-1.0000","-1.0000","1326.7143","2077.7480","-1.0000","-1.0000"
